date_time,precipitation,air_temperature
1991-01-01 00:00,0,-3.05
1991-01-01 01:00,0,-2.35
1991-01-01 02:00,0,-2.25
1991-01-01 03:00,0,-2.55
1991-01-01 04:00,0,-2.45
1991-01-01 05:00,0,-2.25
1991-01-01 06:00,0,-2.35
1991-01-01 07:00,0,-2.65
1991-01-01 08:00,0,-2.55
1991-01-01 09:00,0,-2.25
1991-01-01 10:00,0,-1.75
1991-01-01 11:00,0.01,-1.45
1991-01-01 12:00,0.01,-1.25
1991-01-01 13:00,0.02,-1.25
1991-01-01 14:00,0.03,-1.25
1991-01-01 15:00,0.05,-1.25
1991-01-01 16:00,0.06,-1.05
1991-01-01 17:00,0.07,-0.95
1991-01-01 18:00,0.07,-0.75
1991-01-01 19:00,0.07,-1.45
1991-01-01 20:00,0.07,-1.45
1991-01-01 21:00,0.07,-1.35
1991-01-01 22:00,0.07,-1.05
1991-01-01 23:00,0.07,-0.75
1991-01-02 00:00,0.07,-0.65
1991-01-02 01:00,0,-0.35
1991-01-02 02:00,0,-0.15
1991-01-02 03:00,0,-0.25
1991-01-02 04:00,0,-0.35
1991-01-02 05:00,0,-0.05
1991-01-02 06:00,0,0.15
1991-01-02 07:00,0,0.75
1991-01-02 08:00,0.01,1.15
1991-01-02 09:00,0.01,1.55
1991-01-02 10:00,0.01,1.95
1991-01-02 11:00,0.01,2.35
1991-01-02 12:00,0.01,2.45
1991-01-02 13:00,0.01,2.45
1991-01-02 14:00,0.03,2.25
1991-01-02 15:00,0.1,1.65
1991-01-02 16:00,0.24,1.25
1991-01-02 17:00,0.4,1.25
1991-01-02 18:00,0.54,1.05
1991-01-02 19:00,0.62,1.05
1991-01-02 20:00,0.73,1.05
1991-01-02 21:00,0.82,1.25
1991-01-02 22:00,0.87,1.85
1991-01-02 23:00,0.87,2.75
1991-01-03 00:00,0.87,3.35
1991-01-03 01:00,0.01,3.35
1991-01-03 02:00,0.02,3.15
1991-01-03 03:00,0.02,2.85
1991-01-03 04:00,0.02,2.45
1991-01-03 05:00,0.02,2.05
1991-01-03 06:00,0.02,2.05
1991-01-03 07:00,0.02,2.45
1991-01-03 08:00,0.02,2.45
1991-01-03 09:00,0.02,2.55
1991-01-03 10:00,0.02,2.55
1991-01-03 11:00,0.02,2.55
1991-01-03 12:00,0.02,2.45
1991-01-03 13:00,0.02,2.05
1991-01-03 14:00,0.02,1.65
1991-01-03 15:00,0.02,1.15
1991-01-03 16:00,0.02,0.95
1991-01-03 17:00,0.02,0.95
1991-01-03 18:00,0.02,0.85
1991-01-03 19:00,0.02,0.75
1991-01-03 20:00,0.02,0.75
1991-01-03 21:00,0.02,0.85
1991-01-03 22:00,0.02,0.85
1991-01-03 23:00,0.02,0.95
1991-01-04 00:00,0.02,1.45
