"Date","OriginalPrecipitation","DeltaShiftPrecipitation","OriginalTemperature","DeltaShiftTemperature","ScenarioPrecipitation"
1991-01-01,0.67,0.737,-1.74,-0.74,0.737
1991-01-02,5.36,5.896,1.1,2.1,5.896
1991-01-03,1.39,1.529,1.92,2.92,1.529
1991-01-04,2.84,3.124,1.04,2.04,3.124
1991-01-05,2.04,2.244,2.75,3.75,2.244
1991-01-06,1.09,1.199,1.62,2.62,1.199
1991-01-07,0.17,0.187,0.94,1.94,0.187
1991-01-08,4.29,4.719,0.44,1.44,4.719
1991-01-09,8.85,9.735,1.26,2.26,9.735
1991-01-10,8.76,9.636,0.75,1.75,9.636
1991-01-11,3.56,3.916,-3.32,-2.32,3.916
1991-01-12,0.86,0.946,-1.47,-0.47,0.946
1991-01-13,0.06,0.066,-9.53,-8.53,0.066
1991-01-14,0,0,-6.53,-5.53,0
1991-01-15,0.04,0.044,-5.61,-4.61,0.044
1991-01-16,0.03,0.033,-2.45,-1.45,0.033
1991-01-17,0.01,0.011,-3.2,-2.2,0.011
1991-01-18,0.03,0.033,-1.71,-0.71,0.033
1991-01-19,0.14,0.154,-0.44,0.56,0.154
1991-01-20,0.7,0.77,1.8,2.8,0.77
1991-01-21,0.33,0.363,0.97,1.97,0.363
1991-01-22,0.01,0.011,-1.65,-0.65,0.011
1991-01-23,0,0,0.24,1.24,0
1991-01-24,0,0,-1.2,-0.2,0
1991-01-25,0,0,0.81,1.81,0
1991-01-26,0.59,0.649,1.48,2.48,0.649
1991-01-27,0.38,0.418,-1.1,-0.1,0.418
1991-01-28,0.03,0.033,-0.18,0.82,0.033
1991-01-29,0.04,0.044,-1.33,-0.33,0.044
1991-01-30,0.21,0.231,-2.7,-1.7,0.231
1991-01-31,0.11,0.121,-2.65,-1.65,0.121
1991-02-01,0.06,0.066,-4.56,-3.56,0.066
1991-02-02,0.3,0.33,-4.23,-3.23,0.33
1991-02-03,0.15,0.165,-3.79,-2.79,0.165
1991-02-04,0.01,0.011,-3.58,-2.58,0.011
1991-02-05,0.02,0.022,-3.61,-2.61,0.022
1991-02-06,0.66,0.726,-3.23,-2.23,0.726
1991-02-07,0.12,0.132,-5.39,-4.39,0.132
1991-02-08,0.5,0.55,-5.03,-4.03,0.55
1991-02-09,0.68,0.748,-3.15,-2.15,0.748
1991-02-10,1.57,1.727,-3.83,-2.83,1.727
1991-02-11,0.96,1.056,-5.38,-4.38,1.056
1991-02-12,3.67,4.037,-6.05,-5.05,4.037
1991-02-13,1.8,1.98,-4.53,-3.53,1.98
1991-02-14,2.02,2.222,-6.64,-5.64,2.222
1991-02-15,2.98,3.278,-8.38,-7.38,3.278
1991-02-16,0.18,0.198,-10.16,-9.16,0.198
1991-02-17,0.89,0.979,-8.25,-7.25,0.979
1991-02-18,0.09,0.099,-6.74,-5.74,0.099
1991-02-19,0.1,0.11,-2.99,-1.99,0.11
1991-02-20,1.38,1.518,1.79,2.79,1.518
1991-02-21,0.16,0.176,2.34,3.34,0.176
1991-02-22,0.64,0.704,1.87,2.87,0.704
1991-02-23,5.58,6.138,1.95,2.95,6.138
1991-02-24,1.56,1.716,5.8,6.8,1.716
1991-02-25,0.13,0.143,3.33,4.33,0.143
1991-02-26,0.15,0.165,-1.37,-0.37,0.165
1991-02-27,0.06,0.066,-2.39,-1.39,0.066
1991-02-28,2.34,2.574,-2.21,-1.21,2.574
1991-03-01,2.14,2.247,-0.56,0.44,2.247
1991-03-02,0.6,0.63,-0.31,0.69,0.63
1991-03-03,1.09,1.1445,0.21,1.21,1.1445
1991-03-04,2.39,2.5095,0.56,1.56,2.5095
1991-03-05,0.15,0.1575,-0.57,0.43,0.1575
1991-03-06,0.59,0.6195,-0.13,0.87,0.6195
1991-03-07,0.07,0.0735,1.05,2.05,0.0735
1991-03-08,0,0,0.94,1.94,0
1991-03-09,0,0,0.95,1.95,0
1991-03-10,0.42,0.441,1.19,2.19,0.441
1991-03-11,0.17,0.1785,3.33,4.33,0.1785
1991-03-12,4.42,4.641,3.63,4.63,4.641
1991-03-13,2.08,2.184,0.37,1.37,2.184
1991-03-14,19.22,20.181,2.76,3.76,24.4523369474771
1991-03-15,1.4,1.47,0.51,1.51,1.47
1991-03-16,0.02,0.021,-0.95,0.05,0.021
1991-03-17,0.02,0.021,1.55,2.55,0.021
1991-03-18,0.4,0.42,3.64,4.64,0.42
1991-03-19,2.02,2.121,4.71,5.71,2.121
1991-03-20,1.81,1.9005,6.32,7.32,1.9005
1991-03-21,2.68,2.814,5.16,6.16,2.814
1991-03-22,2.94,3.087,4.2,5.2,3.087
1991-03-23,3.01,3.1605,2.24,3.24,3.1605
1991-03-24,1.38,1.449,0.45,1.45,1.449
1991-03-25,0.08,0.084,2.94,3.94,0.084
1991-03-26,0.08,0.084,4.33,5.33,0.084
1991-03-27,0.02,0.021,2.77,3.77,0.021
1991-03-28,0.41,0.4305,1.92,2.92,0.4305
1991-03-29,0.03,0.0315,4.32,5.32,0.0315
1991-03-30,0.92,0.966,4.02,5.02,0.966
1991-03-31,0.08,0.084,2.2,3.2,0.084
1991-04-01,0.74,0.777,6.64,7.64,0.777
1991-04-02,1.59,1.6695,8.23,9.23,1.6695
1991-04-03,0.24,0.252,9.43,10.43,0.252
1991-04-04,0.02,0.021,6.72,7.72,0.021
1991-04-05,5.89,6.1845,6.85,7.85,6.1845
1991-04-06,4.42,4.641,7.53,8.53,4.641
1991-04-07,0.4,0.42,7.09,8.09,0.42
1991-04-08,0.27,0.2835,6.2,7.2,0.2835
1991-04-09,0.02,0.021,5.66,6.66,0.021
1991-04-10,0,0,7.4,8.4,0
1991-04-11,0.1,0.105,9.27,10.27,0.105
1991-04-12,0.01,0.0105,9.45,10.45,0.0105
1991-04-13,0.04,0.042,11.05,12.05,0.042
1991-04-14,1.64,1.722,7.02,8.02,1.722
1991-04-15,0.22,0.231,8.06,9.06,0.231
1991-04-16,3.1,3.255,4.64,5.64,3.255
1991-04-17,3.23,3.3915,0.45,1.45,3.3915
1991-04-18,1.2,1.26,-0.48,0.52,1.26
1991-04-19,0.25,0.2625,-0.57,0.43,0.2625
1991-04-20,0.26,0.273,-0.74,0.26,0.273
1991-04-21,0.04,0.042,0.63,1.63,0.042
1991-04-22,0.23,0.2415,2.38,3.38,0.2415
1991-04-23,0.33,0.3465,3.82,4.82,0.3465
1991-04-24,0.09,0.0945,5.28,6.28,0.0945
1991-04-25,0.12,0.126,4.18,5.18,0.126
1991-04-26,1.97,2.0685,2.96,3.96,2.0685
1991-04-27,1.19,1.2495,5.4,6.4,1.2495
1991-04-28,0.38,0.399,5.79,6.79,0.399
1991-04-29,0.44,0.462,5.29,6.29,0.462
1991-04-30,2.37,2.4885,6.32,7.32,2.4885
1991-05-01,10.65,11.1825,4.26,5.26,11.1825
1991-05-02,5.51,5.7855,5.15,6.15,5.7855
1991-05-03,1.5,1.575,6.08,7.08,1.575
1991-05-04,3.95,4.1475,5.22,6.22,4.1475
1991-05-05,0.95,0.9975,5.77,6.77,0.9975
1991-05-06,0.04,0.042,5.2,6.2,0.042
1991-05-07,0,0,6.22,7.22,0
1991-05-08,0.14,0.147,8.18,9.18,0.147
1991-05-09,0.01,0.0105,7.53,8.53,0.0105
1991-05-10,0,0,11.3,12.3,0
1991-05-11,0,0,12.01,13.01,0
1991-05-12,0.94,0.987,11.4,12.4,0.987
1991-05-13,0.11,0.1155,11.9,12.9,0.1155
1991-05-14,3.01,3.1605,8.66,9.66,3.1605
1991-05-15,6.96,7.308,5.69,6.69,7.308
1991-05-16,11.76,12.348,5.52,6.52,7.31510184323068
1991-05-17,3.42,3.591,5.94,6.94,3.591
1991-05-18,0.15,0.1575,6.65,7.65,0.1575
1991-05-19,0,0,10.4,11.4,0
1991-05-20,3.56,3.738,11.1,12.1,3.738
1991-05-21,0.31,0.3255,12.43,13.43,0.3255
1991-05-22,4.45,4.6725,10.56,11.56,4.6725
1991-05-23,0.58,0.609,7.23,8.23,0.609
1991-05-24,0.33,0.3465,7.67,8.67,0.3465
1991-05-25,4.07,4.2735,7.79,8.79,4.2735
1991-05-26,1.18,1.239,8.85,9.85,1.239
1991-05-27,0.15,0.1575,10.06,11.06,0.1575
1991-05-28,0,0,12.13,13.13,0
1991-05-29,0,0,13.37,14.37,0
1991-05-30,0,0,14.87,15.87,0
1991-05-31,0.97,1.0185,11.31,12.31,1.0185
1991-06-01,0.64,0.576,9.68,10.68,0.576
1991-06-02,1.25,1.125,9.47,10.47,1.125
1991-06-03,4.59,4.131,9.21,10.21,4.131
1991-06-04,19.25,17.325,6.92,7.92,17.8682673221062
1991-06-05,3.95,3.555,9.89,10.89,3.555
1991-06-06,0.19,0.171,10.2,11.2,0.171
1991-06-07,0.17,0.153,11.83,12.83,0.153
1991-06-08,12.99,11.691,10.17,11.17,6.09114009641243
1991-06-09,4.39,3.951,11.84,12.84,3.951
1991-06-10,5.41,4.869,12.45,13.45,4.869
1991-06-11,6.18,5.562,13.13,14.13,5.562
1991-06-12,2.62,2.358,12.88,13.88,2.358
1991-06-13,5.76,5.184,12.15,13.15,5.184
1991-06-14,3.81,3.429,13.02,14.02,3.429
1991-06-15,8.47,7.623,11.86,12.86,7.623
1991-06-16,1.41,1.269,13.23,14.23,1.269
1991-06-17,1.45,1.305,13.83,14.83,1.305
1991-06-18,7.52,6.768,11.87,12.87,6.768
1991-06-19,2.82,2.538,13.06,14.06,2.538
1991-06-20,0.49,0.441,13.28,14.28,0.441
1991-06-21,0.27,0.243,13.07,14.07,0.243
1991-06-22,2.38,2.142,14.25,15.25,2.142
1991-06-23,0.32,0.288,15.46,16.46,0.288
1991-06-24,2.98,2.682,14.8,15.8,2.682
1991-06-25,0.69,0.621,14.71,15.71,0.621
1991-06-26,9.2,8.28,12.88,13.88,8.28
